Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
800	-7371.682	-7340.001	-31.68153	571154.1	17.4218	0.998319	0.99957	1.00043	1.00168	8.700275
810	-7374.674	-7349.507	-25.1662	968373.2	17.73988	0.998709	0.99967	1.00033	1.00129	8.337625
820	-7381.53	-7337.396	-44.1334	555791	15.94052	0.998296	0.999564	1.00043	1.00171	9.411013
830	-7379.761	-7350.647	-29.11375	439353.9	20.33906	0.998083	0.99951	1.00049	1.00192	8.522979
840	-7374.865	-7345.128	-29.73755	33853.37	18.42723	0.9931	0.998227	1.00176	1.00692	8.599374
850	-7384.816	-7349.037	-35.77867	121261.6	16.10008	0.996352	0.999065	1.00093	1.00365	8.896438
860	-7385.697	-7344.221	-41.4768	37804.59	20.10728	0.99347	0.998323	1.00166	1.00655	9.146615
870	-7373.897	-7336.513	-37.38428	28547.64	17.26092	0.992487	0.998068	1.00191	1.00753	9.027082
880	-7378.553	-7345.539	-33.01383	576549.1	19.15163	0.998326	0.999572	1.00043	1.00167	8.761758
890	-7380.857	-7346.637	-34.22061	776444.9	17.67871	0.998558	0.999631	1.00037	1.00144	8.847874
900	-7380.267	-7347.463	-32.80403	251557.9	18.4417	0.997467	0.999352	1.00065	1.00254	8.765602
910	-7380.328	-7353.222	-27.10581	227003.8	22.32503	0.997333	0.999317	1.00068	1.00267	8.328941
920	-7377.792	-7340.054	-37.73704	722947.1	16.98864	0.998505	0.999618	1.00038	1.0015	9.045047
930	-7378.295	-7354.504	-23.79159	585443	19.71306	0.998339	0.999575	1.00042	1.00166	8.274681
940	-7399.58	-7361.417	-38.16276	615000.8	18.4239	0.99838	0.999586	1.00041	1.00162	9.056683
950	-7394.257	-7361.757	-32.50082	177391.4	20.22866	0.996984	0.999228	1.00077	1.00302	8.694706
960	-7380.645	-7345.098	-35.5467	135058.3	15.65461	0.996543	0.999114	1.00088	1.00346	8.851898
970	-7365.417	-7337.336	-28.08126	381958.7	20.14656	0.997944	0.999474	1.00052	1.00206	8.479083
980	-7370.573	-7343	-27.57309	705139.6	18.52755	0.998487	0.999613	1.00039	1.00151	8.482085
990	-7389.135	-7355.342	-33.79248	563232.2	15.37054	0.998307	0.999567	1.00043	1.00169	8.713243
1000	-7389.903	-7360.243	-29.66066	492203.4	22.10994	0.998189	0.999537	1.00046	1.00181	8.456968
1010	-7387.129	-7361.245	-25.8843	922097.4	18.59648	0.998677	0.999662	1.00034	1.00132	8.391241
1020	-7400.788	-7360.364	-40.4236	323194.3	17.52221	0.997765	0.999428	1.00057	1.00224	9.200991
1030	-7387.822	-7352.389	-35.433	89946.64	17.90413	0.995765	0.998914	1.00108	1.00424	8.915609
1040	-7379.485	-7343.178	-36.30729	145192.3	17.13811	0.996666	0.999146	1.00085	1.00334	8.963282
1050	-7385.48	-7357.345	-28.13442	977855.1	20.04022	0.998715	0.999671	1.00033	1.00129	8.485272
1060	-7373.205	-7351.393	-21.81264	842766.8	18.9067	0.998616	0.999646	1.00035	1.00138	8.175802
1070	-7376.84	-7344.966	-31.87418	775722.9	17.3552	0.998557	0.999631	1.00037	1.00144	8.709999
1080	-7384.438	-7352.036	-32.40146	347201.4	19.09071	0.997844	0.999448	1.00055	1.00216	8.73141
1090	-7412.484	-7368.233	-44.25119	393046	17.25247	0.997973	0.999481	1.00052	1.00203	9.425056
1100	-7382.544	-7352.532	-30.01176	37469.56	20.33847	0.993441	0.998315	1.00167	1.00657	8.567156
1110	-7373.512	-7346.37	-27.14227	11160.02	17.29808	0.987993	0.996901	1.00305	1.01206	8.435186
1120	-7376.693	-7338.111	-38.58169	201516.8	17.18135	0.99717	0.999275	1.00072	1.00283	9.09621
1130	-7393.159	-7353.652	-39.50748	485976.1	19.17708	0.998177	0.999534	1.00047	1.00182	9.099629
1140	-7371.276	-7340.668	-30.60788	227247.6	18.49054	0.997335	0.999318	1.00068	1.00267	8.646179
1150	-7391.016	-7352.217	-38.79948	399979.2	17.74508	0.997991	0.999486	1.00051	1.00201	9.106068
1160	-7379.682	-7345.406	-34.27551	63250.69	16.10835	0.99495	0.998705	1.00129	1.00506	8.803585
1170	-7396.126	-7362.544	-33.58263	182169.6	17.40164	0.997023	0.999238	1.00076	1.00298	8.809122
1180	-7408.904	-7371.2	-37.70355	947373.9	18.76752	0.998694	0.999666	1.00033	1.00131	9.021256
1190	-7392.412	-7358.159	-34.25318	447249.8	18.34056	0.9981	0.999514	1.00048	1.0019	8.845781
1200	-7398.217	-7364.452	-33.76526	226987.2	16.6682	0.997333	0.999317	1.00068	1.00267	8.800564
1210	-7386.504	-7354.547	-31.95668	313616.2	16.71757	0.997731	0.999419	1.00058	1.00227	8.694282
1220	-7381.306	-7354.499	-26.80609	293733.5	17.02696	0.997656	0.9994	1.0006	1.00235	8.403565
1230	-7393.2	-7356.91	-36.29036	352265.4	18.38867	0.997859	0.999452	1.00055	1.00214	8.955836
1240	-7387.035	-7353.66	-33.37474	221336	16.72877	0.997299	0.999309	1.00069	1.0027	8.77954
1250	-7363.413	-7335.583	-27.83014	123103.4	18.94645	0.99638	0.999072	1.00092	1.00363	8.493682
1260	-7365.108	-7328.166	-36.94253	362262	17.32695	0.997889	0.99946	1.00054	1.00211	9.001901
1270	-7374.076	-7343.013	-31.0626	870272.1	16.62808	0.998638	0.999652	1.00035	1.00136	8.636411
1280	-7370.852	-7343.779	-27.07284	690231.2	17.7289	0.99847	0.999609	1.00039	1.00153	8.444835
1290	-7363.893	-7333.729	-30.16444	646891	17.45785	0.99842	0.999596	1.0004	1.00158	8.614059
1300	-7372.372	-7343.578	-28.79403	265126.2	19.51185	0.997532	0.999368	1.00063	1.00247	8.533798
1310	-7396.344	-7358.511	-37.83328	897227.9	18.00776	0.998658	0.999657	1.00034	1.00134	9.048042
1320	-7372.472	-7338.821	-33.65152	721105.2	17.36354	0.998504	0.999617	1.00038	1.0015	8.812535
1330	-7385.378	-7343.187	-42.19085	975090.1	15.63047	0.998713	0.999671	1.00033	1.00129	9.275059
1340	-7380.593	-7345.671	-34.92223	862957.4	18.26094	0.998632	0.99965	1.00035	1.00137	8.883502
1350	-7392.703	-7359.518	-33.18536	745245.2	18.05997	0.998528	0.999624	1.00038	1.00147	8.789755
1360	-7364.752	-7330.93	-33.82176	832500.7	17.08209	0.998607	0.999644	1.00036	1.00139	8.816969
1370	-7382.477	-7353.113	-29.36357	665051.5	20.20382	0.998442	0.999601	1.0004	1.00156	8.540571
1380	-7381.834	-7347.118	-34.71594	153431.6	18.03703	0.996757	0.999169	1.00083	1.00325	8.874702
1390	-7395.347	-7358.093	-37.25357	544251.8	17.87385	0.998278	0.999559	1.00044	1.00172	9.017662
1400	-7379.549	-7352.237	-27.31151	308109.4	18.47971	0.997711	0.999414	1.00058	1.00229	8.467881
1410	-7377.256	-7346.119	-31.1366	268636.9	18.00064	0.997549	0.999373	1.00063	1.00245	8.676139
1420	-7376.214	-7351.073	-25.14104	232095.1	17.7278	0.997363	0.999325	1.00067	1.00264	8.335837
1430	-7373.804	-7349.383	-24.4203	902846.7	17.99103	0.998663	0.999658	1.00034	1.00134	8.302787
1440	-7378.707	-7352.047	-26.66008	98473.65	17.95846	0.995952	0.998962	1.00103	1.00405	8.426684
1450	-7395.65	-7362.395	-33.2554	516739.6	17.31056	0.998232	0.999548	1.00045	1.00177	8.788813
1460	-7390.748	-7360.843	-29.90471	816784.5	18.90461	0.998594	0.99964	1.00036	1.00141	8.603834
1470	-7379.021	-7345.621	-33.40069	580012.8	16.85821	0.998331	0.999573	1.00043	1.00167	8.785745
1480	-7375.765	-7341.876	-33.88869	580385.7	17.45189	0.998332	0.999573	1.00043	1.00167	8.827321
1490	-7381.563	-7349.902	-31.66136	231076.6	19.09591	0.997357	0.999323	1.00067	1.00265	8.692517
1500	-7368.285	-7335.871	-32.41408	923508.8	17.66139	0.998678	0.999662	1.00034	1.00132	8.745525
1510	-7366.997	-7333.026	-33.97107	503726.8	20.70283	0.99821	0.999542	1.00046	1.00179	8.742188
1520	-7384.905	-7346.731	-38.17369	58029.38	15.98755	0.994728	0.998647	1.00134	1.00528	9.039636
1530	-7399.606	-7360.152	-39.4547	166996.8	18.8051	0.996891	0.999204	1.00079	1.00311	9.113076
1540	-7412.769	-7371.051	-41.71802	448816.2	18.18084	0.998103	0.999515	1.00048	1.0019	9.258381
1550	-7374.046	-7339.603	-34.44326	202680.8	16.32236	0.997178	0.999277	1.00072	1.00282	8.825996
1560	-7377.957	-7344.575	-33.38165	18189.41	18.25055	0.990591	0.997577	1.00239	1.00944	8.79924
1570	-7380.538	-7349.217	-31.32122	601762.4	18.53688	0.998362	0.999581	1.00042	1.00164	8.684286
1580	-7368.414	-7343.218	-25.19685	215046.1	18.05556	0.99726	0.999299	1.0007	1.00274	8.347333
1590	-7378.474	-7345.16	-33.3142	938171.2	20.0622	0.998688	0.999665	1.00033	1.00131	8.742739
1600	-7378.734	-7347.832	-30.902	938171.2	15.80705	0.998688	0.999665	1.00033	1.00131	8.569468
1610	-7368.996	-7338.583	-30.41272	938171.2	18.30674	0.998688	0.999665	1.00033	1.00131	8.636477
1620	-7375.648	-7344.598	-31.04963	493969.2	16.76586	0.998192	0.999537	1.00046	1.00181	8.642262
1630	-7383.393	-7352.289	-31.10451	374788.6	19.98103	0.997924	0.999469	1.00053	1.00208	8.635812
1640	-7387.144	-7356.215	-30.92856	534498.3	23.16773	0.998262	0.999555	1.00044	1.00174	8.441199
1650	-7380.647	-7353.527	-27.12049	580807.4	16.97512	0.998333	0.999573	1.00043	1.00167	8.419441
1660	-7374.2	-7349.856	-24.34393	980820.8	18.51147	0.998717	0.999672	1.00033	1.00128	8.307634
1670	-7369.807	-7334.039	-35.76748	176465.8	18.9915	0.996976	0.999226	1.00077	1.00303	8.911134
1680	-7379.741	-7351.398	-28.34296	707684.9	20.40478	0.998489	0.999614	1.00039	1.00151	8.482563
1690	-7380.085	-7348.047	-32.03808	697666.1	17.74251	0.998479	0.999611	1.00039	1.00152	8.725016
