Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
97	1	-7365.464	-7335.847	-29.61762	331915.9	19.6668	0.997795	0.999436	1.00056	1.00221	8.571618
98	0	-7397.937	-7366.692	-31.24579	772053.7	18.79716	0.998554	0.99963	1.00037	1.00145	8.676683
99	1	-7372.426	-7335.961	-36.46488	860119.8	19.02123	0.99863	0.99965	1.00035	1.00137	8.946798
100	0	-7402.106	-7360.271	-41.83547	69400.26	18.668	0.995179	0.998763	1.00123	1.00483	9.245897
101	1	-7378.524	-7345.153	-33.37124	746528.8	16.70993	0.998529	0.999624	1.00038	1.00147	8.778598
102	0	-7390.735	-7356.402	-34.33323	851265.5	16.69834	0.998623	0.999648	1.00035	1.00138	8.835751
103	1	-7385.26	-7354.64	-30.62015	89782.76	20.45274	0.995761	0.998913	1.00108	1.00425	8.592023
104	0	-7392.121	-7353.535	-38.58568	613167.3	18.18848	0.998377	0.999585	1.00041	1.00162	9.085912
105	1	-7371.27	-7333.951	-37.31941	206818.5	18.3188	0.997206	0.999285	1.00071	1.0028	9.013474
106	0	-7393.886	-7364.873	-29.01297	148606	18.04912	0.996705	0.999156	1.00084	1.0033	8.558631
107	1	-7389.329	-7355.483	-33.84553	729740.8	15.78575	0.998512	0.99962	1.00038	1.00149	8.754016
108	0	-7399.788	-7358.676	-41.11186	75599.31	16.09058	0.995381	0.998815	1.00118	1.00463	9.22735
109	1	-7380.315	-7346.559	-33.75614	127707.6	19.99902	0.996445	0.999089	1.00091	1.00356	8.767697
110	0	-7374.246	-7350.996	-23.25057	698029.3	18.36062	0.998479	0.999611	1.00039	1.00152	8.246233
111	1	-7375.423	-7341.633	-33.78932	84050.86	17.84461	0.995619	0.998877	1.00112	1.00439	8.82386
112	0	-7381.871	-7353.083	-28.78899	943243.5	21.64972	0.998692	0.999665	1.00033	1.00131	8.444305
113	1	-7383.836	-7351.306	-32.53011	435094.1	18.98484	0.998074	0.999507	1.00049	1.00193	8.740833
114	0	-7383.922	-7353.832	-30.08959	384082.7	17.32174	0.99795	0.999475	1.00052	1.00205	8.606247
115	1	-7392.264	-7357.198	-35.06521	723265	18.81745	0.998506	0.999618	1.00038	1.0015	8.879314
